code,country,year,hospital_stay_length
AUS,Australia,2001,4.9
AUS,Australia,2001,2.2
AUS,Australia,2001,12.4
AUS,Australia,2001,8.5
AUS,Australia,2001,2.4
AUS,Australia,2001,7.9
AUS,Australia,2001,4.1
AUS,Australia,2001,8.5
AUS,Australia,2001,4.2
AUS,Australia,2001,6.7
AUS,Australia,2001,5.0
AUS,Australia,2001,6.4
AUS,Australia,2001,6.2
AUS,Australia,2001,1.2
AUS,Australia,2001,2.7
AUS,Australia,2001,2.3
AUS,Australia,2001,4.7
AUS,Australia,2001,4.7
AUS,Australia,2001,1.9
AUS,Australia,2001,5.2
AUS,Australia,2001,5.5
AUS,Australia,2001,3.5
AUS,Australia,2001,3.1
AUS,Australia,2001,9.7
AUS,Australia,2001,17.9
AUS,Australia,2001,2.9
AUS,Australia,2001,5.1
AUS,Australia,2001,3.7
AUS,Australia,2001,1.6
AUS,Australia,2001,4.1
AUS,Australia,2001,4.1
AUS,Australia,2001,3.7
AUS,Australia,2001,3.8
AUS,Australia,2001,1.7
AUS,Australia,2001,3.1
AUS,Australia,2001,3.2
AUS,Australia,2001,4.1
AUS,Australia,2001,2.5
AUS,Australia,2001,2.2
AUS,Australia,2001,9.9
AUS,Australia,2001,2.4
AUS,Australia,2001,3.3
AUS,Australia,2001,3.2
AUS,Australia,2001,5.2
AUS,Australia,2001,3.7
AUS,Australia,2001,6.9
AUS,Australia,2001,6.1
AUS,Australia,2001,1.8
AUS,Australia,2001,3.6
AUS,Australia,2001,7.6
AUS,Australia,2001,6.8
AUS,Australia,2001,3.9
AUS,Australia,2001,3.3
AUS,Australia,2001,1.8
AUS,Australia,2001,3.2
AUS,Australia,2001,4.0
AUS,Australia,2001,2.9
AUS,Australia,2001,8.9
AUS,Australia,2001,4.2
AUS,Australia,2001,1.6
AUS,Australia,2001,8.0
AUS,Australia,2002,5.0
AUS,Australia,2002,8.0
AUS,Australia,2002,4.0
AUS,Australia,2002,4.4
AUS,Australia,2002,5.9
AUS,Australia,2002,5.2
AUS,Australia,2002,2.8
AUS,Australia,2002,4.4
AUS,Australia,2002,8.2
AUS,Australia,2002,8.5
AUS,Australia,2002,7.3
AUS,Australia,2002,1.6
AUS,Australia,2002,10.1
AUS,Australia,2002,5.5
AUS,Australia,2002,8.5
AUS,Australia,2002,6.4
AUS,Australia,2002,5.3
AUS,Australia,2002,5.7
AUS,Australia,2002,4.4
AUS,Australia,2002,6.7
AUS,Australia,2002,5.7
AUS,Australia,2002,9.7
AUS,Australia,2002,9.0
AUS,Australia,2002,6.9
AUS,Australia,2002,18.0
AUS,Australia,2002,17.5
AUS,Australia,2002,2.6
AUS,Australia,2002,1.3
AUS,Australia,2002,16.8
AUS,Australia,2002,2.4
AUS,Australia,2002,7.8
AUS,Australia,2002,2.7
AUS,Australia,2002,7.4
AUS,Australia,2002,12.3
AUS,Australia,2002,6.1
AUS,Australia,2002,4.9
AUS,Australia,2002,6.3
AUS,Australia,2002,3.1
AUS,Australia,2002,2.5
AUS,Australia,2002,6.7
AUS,Australia,2002,4.4
AUS,Australia,2002,5.5
AUS,Australia,2002,2.1
AUS,Australia,2002,2.7
AUS,Australia,2002,37.4
AUS,Australia,2002,9.6
AUS,Australia,2002,4.1
AUS,Australia,2002,15.0
AUS,Australia,2002,11.9
AUS,Australia,2002,5.7
AUS,Australia,2002,7.2
AUS,Australia,2002,7.8
AUS,Australia,2002,30.4
AUS,Australia,2002,17.0
AUS,Australia,2002,27.5
AUS,Australia,2002,7.2
AUS,Australia,2002,8.1
AUS,Australia,2002,6.1
AUS,Australia,2002,5.1
AUS,Australia,2002,4.6
AUS,Australia,2002,6.1
AUS,Australia,2002,4.9
AUS,Australia,2002,4.2
AUS,Australia,2002,4.4
AUS,Australia,2002,5.1
AUS,Australia,2002,9.4
AUS,Australia,2002,3.4
AUS,Australia,2002,7.1
AUS,Australia,2002,8.4
AUS,Australia,2002,7.4
AUS,Australia,2002,4.4
AUS,Australia,2002,4.8
AUS,Australia,2002,7.6
AUS,Australia,2002,11.6
AUS,Australia,2002,10.0
AUS,Australia,2002,10.4
AUS,Australia,2002,16.8
AUS,Australia,2002,4.4
AUS,Australia,2002,2.9
AUS,Australia,2002,2.2
AUS,Australia,2002,16.6
AUS,Australia,2002,4.8
AUS,Australia,2002,6.5
AUS,Australia,2002,6.9
AUS,Australia,2002,4.6
AUS,Australia,2002,1.1
AUS,Australia,2002,6.5
AUS,Australia,2002,5.0
AUS,Australia,2002,2.3
AUS,Australia,2002,11.7
AUS,Australia,2002,8.6
AUS,Australia,2002,2.5
AUS,Australia,2002,7.9
AUS,Australia,2002,4.2
AUS,Australia,2002,8.5
AUS,Australia,2002,4.2
AUS,Australia,2002,6.5
AUS,Australia,2002,4.9
AUS,Australia,2002,6.4
AUS,Australia,2002,6.0
AUS,Australia,2002,1.2
AUS,Australia,2002,2.6
AUS,Australia,2002,2.3
AUS,Australia,2002,4.9
AUS,Australia,2002,4.6
AUS,Australia,2002,1.9
AUS,Australia,2002,5.2
AUS,Australia,2002,5.5
AUS,Australia,2002,3.5
AUS,Australia,2002,3.0
AUS,Australia,2002,9.7
AUS,Australia,2002,17.7
AUS,Australia,2002,2.8
AUS,Australia,2002,4.9
AUS,Australia,2002,3.7
AUS,Australia,2002,1.6
AUS,Australia,2002,4.1
AUS,Australia,2002,4.0
AUS,Australia,2002,3.5
AUS,Australia,2002,3.8
AUS,Australia,2002,1.8
AUS,Australia,2002,2.9
AUS,Australia,2002,3.2
AUS,Australia,2002,4.1
AUS,Australia,2002,2.6
AUS,Australia,2002,2.2
AUS,Australia,2002,9.6
AUS,Australia,2002,2.4
AUS,Australia,2002,3.3
AUS,Australia,2002,3.1
AUS,Australia,2002,5.2
AUS,Australia,2002,3.8
AUS,Australia,2002,6.9
AUS,Australia,2002,6.2
AUS,Australia,2002,1.8
AUS,Australia,2002,3.4
AUS,Australia,2002,7.5
AUS,Australia,2002,6.7
AUS,Australia,2002,3.9
AUS,Australia,2002,3.3
AUS,Australia,2002,1.8
AUS,Australia,2002,3.3
AUS,Australia,2002,4.0
AUS,Australia,2002,2.8
AUS,Australia,2002,8.8
AUS,Australia,2002,4.2
AUS,Australia,2002,1.5
AUS,Australia,2002,8.0
AUS,Australia,2003,5.0
AUS,Australia,2003,8.0
AUS,Australia,2003,4.0
AUS,Australia,2003,4.3
AUS,Australia,2003,5.7
AUS,Australia,2003,5.0
AUS,Australia,2003,2.8
AUS,Australia,2003,4.2
AUS,Australia,2003,8.0
AUS,Australia,2003,8.5
AUS,Australia,2003,7.1
AUS,Australia,2003,1.5
AUS,Australia,2003,10.1
AUS,Australia,2003,5.4
AUS,Australia,2003,8.3
AUS,Australia,2003,6.4
AUS,Australia,2003,5.4
AUS,Australia,2003,5.6
AUS,Australia,2003,4.5
AUS,Australia,2003,6.7
AUS,Australia,2003,5.5
AUS,Australia,2003,9.6
AUS,Australia,2003,8.8
AUS,Australia,2003,7.0
AUS,Australia,2003,17.4
AUS,Australia,2003,16.8
AUS,Australia,2003,2.5
AUS,Australia,2003,1.3
AUS,Australia,2003,8.1
AUS,Australia,2003,2.5
AUS,Australia,2003,7.3
AUS,Australia,2003,2.7
AUS,Australia,2003,7.5
AUS,Australia,2003,12.3
AUS,Australia,2003,6.3
AUS,Australia,2003,4.9
AUS,Australia,2003,6.7
AUS,Australia,2003,3.0
AUS,Australia,2003,2.5
AUS,Australia,2003,8.7
AUS,Australia,2003,4.4
AUS,Australia,2003,5.6
AUS,Australia,2003,2.1
AUS,Australia,2003,2.6
AUS,Australia,2003,30.0
AUS,Australia,2003,8.8
AUS,Australia,2003,4.0
AUS,Australia,2003,14.7
AUS,Australia,2003,10.8
AUS,Australia,2003,5.1
AUS,Australia,2003,7.3
AUS,Australia,2003,7.4
AUS,Australia,2003,23.4
AUS,Australia,2003,15.1
AUS,Australia,2003,29.3
AUS,Australia,2003,7.1
AUS,Australia,2003,8.1
AUS,Australia,2003,5.9
AUS,Australia,2003,5.1
AUS,Australia,2003,4.5
AUS,Australia,2003,6.1
AUS,Australia,2003,4.8
AUS,Australia,2003,4.0
AUS,Australia,2003,4.5
AUS,Australia,2003,5.2
AUS,Australia,2003,9.3
AUS,Australia,2003,3.5
AUS,Australia,2003,7.0
AUS,Australia,2003,8.8
AUS,Australia,2003,7.1
AUS,Australia,2003,4.4
AUS,Australia,2003,4.9
AUS,Australia,2003,7.6
AUS,Australia,2003,11.2
AUS,Australia,2003,9.8
AUS,Australia,2003,10.7
AUS,Australia,2003,13.2
AUS,Australia,2003,4.5
AUS,Australia,2003,2.9
AUS,Australia,2003,2.3
AUS,Australia,2003,16.2
AUS,Australia,2003,5.0
AUS,Australia,2003,6.3
AUS,Australia,2003,6.8
AUS,Australia,2003,4.4
AUS,Australia,2003,1.1
AUS,Australia,2003,6.7
AUS,Australia,2003,5.0
AUS,Australia,2003,2.4
AUS,Australia,2003,11.6
AUS,Australia,2003,8.5
AUS,Australia,2003,2.6
AUS,Australia,2003,7.8
AUS,Australia,2003,4.1
AUS,Australia,2003,8.5
AUS,Australia,2003,4.0
AUS,Australia,2003,6.4
AUS,Australia,2003,4.5
AUS,Australia,2003,6.3
AUS,Australia,2003,4.7
AUS,Australia,2003,1.2
AUS,Australia,2003,2.6
AUS,Australia,2003,2.3
AUS,Australia,2003,4.9
AUS,Australia,2003,4.2
AUS,Australia,2003,2.0
AUS,Australia,2003,5.1
AUS,Australia,2003,5.5
AUS,Australia,2003,3.5
AUS,Australia,2003,3.0
AUS,Australia,2003,9.8
AUS,Australia,2003,17.9
AUS,Australia,2003,2.8
AUS,Australia,2003,4.9
AUS,Australia,2003,3.6
AUS,Australia,2003,1.6
AUS,Australia,2003,4.1
AUS,Australia,2003,4.0
AUS,Australia,2003,3.5
AUS,Australia,2003,3.7
AUS,Australia,2003,1.6
AUS,Australia,2003,2.9
AUS,Australia,2003,3.1
AUS,Australia,2003,4.0
AUS,Australia,2003,2.6
AUS,Australia,2003,2.2
AUS,Australia,2003,9.2
AUS,Australia,2003,2.3
AUS,Australia,2003,3.2
AUS,Australia,2003,6.1
AUS,Australia,2003,3.1
AUS,Australia,2003,5.3
AUS,Australia,2003,3.8
AUS,Australia,2003,6.9
AUS,Australia,2003,1.7
AUS,Australia,2003,3.4
AUS,Australia,2003,7.3
AUS,Australia,2003,6.9
AUS,Australia,2003,3.9
AUS,Australia,2003,3.2
AUS,Australia,2003,1.8
AUS,Australia,2003,3.3
AUS,Australia,2003,4.0
AUS,Australia,2003,2.7
AUS,Australia,2003,8.6
AUS,Australia,2003,4.2
AUS,Australia,2003,1.5
AUS,Australia,2003,7.8
AUS,Australia,2004,5.0
AUS,Australia,2004,7.7
AUS,Australia,2004,3.9
AUS,Australia,2004,4.1
AUS,Australia,2004,5.6
AUS,Australia,2004,4.9
AUS,Australia,2004,2.6
AUS,Australia,2004,4.1
AUS,Australia,2004,8.3
AUS,Australia,2004,8.4
AUS,Australia,2004,7.1
AUS,Australia,2004,1.5
AUS,Australia,2004,9.9
AUS,Australia,2004,5.3
AUS,Australia,2004,8.0
AUS,Australia,2004,6.2
AUS,Australia,2004,5.3
AUS,Australia,2004,5.5
AUS,Australia,2004,4.4
AUS,Australia,2004,6.4
AUS,Australia,2004,5.5
AUS,Australia,2004,9.6
AUS,Australia,2004,8.8
AUS,Australia,2004,7.0
AUS,Australia,2004,17.1
AUS,Australia,2004,16.6
AUS,Australia,2004,2.5
AUS,Australia,2004,1.3
AUS,Australia,2004,7.4
AUS,Australia,2004,13.0
AUS,Australia,2004,2.2
AUS,Australia,2004,7.1
AUS,Australia,2004,2.8
AUS,Australia,2004,12.2
AUS,Australia,2004,6.2
AUS,Australia,2004,4.9
AUS,Australia,2004,7.0
AUS,Australia,2004,3.1
AUS,Australia,2004,2.5
AUS,Australia,2004,24.9
AUS,Australia,2004,4.3
AUS,Australia,2004,5.5
AUS,Australia,2004,2.0
AUS,Australia,2004,2.6
AUS,Australia,2004,1.9
AUS,Australia,2004,30.5
AUS,Australia,2004,7.8
AUS,Australia,2004,4.0
AUS,Australia,2004,15.2
AUS,Australia,2004,10.6
AUS,Australia,2004,5.1
AUS,Australia,2004,6.8
AUS,Australia,2004,7.6
AUS,Australia,2004,25.3
AUS,Australia,2004,15.4
AUS,Australia,2004,27.8
AUS,Australia,2004,6.9
AUS,Australia,2004,8.1
AUS,Australia,2004,5.5
AUS,Australia,2004,5.0
AUS,Australia,2004,4.4
AUS,Australia,2004,6.0
AUS,Australia,2004,4.7
AUS,Australia,2004,4.0
AUS,Australia,2004,4.4
AUS,Australia,2004,5.2
AUS,Australia,2004,9.2
AUS,Australia,2004,3.5
AUS,Australia,2004,7.3
AUS,Australia,2004,8.9
AUS,Australia,2004,6.6
AUS,Australia,2004,4.6
AUS,Australia,2004,4.6
AUS,Australia,2004,7.5
AUS,Australia,2004,10.7
AUS,Australia,2004,9.8
AUS,Australia,2004,10.4
AUS,Australia,2004,15.8
AUS,Australia,2004,4.7
AUS,Australia,2004,3.0
AUS,Australia,2004,2.3
AUS,Australia,2004,18.7
AUS,Australia,2004,5.3
AUS,Australia,2004,6.3
AUS,Australia,2004,6.7
AUS,Australia,2004,4.4
AUS,Australia,2004,6.6
AUS,Australia,2004,4.9
AUS,Australia,2004,2.3
AUS,Australia,2004,11.1
AUS,Australia,2004,8.0
AUS,Australia,2004,2.3
AUS,Australia,2004,7.8
AUS,Australia,2004,4.1
AUS,Australia,2004,8.4
AUS,Australia,2004,3.9
AUS,Australia,2004,6.3
AUS,Australia,2004,4.4
AUS,Australia,2004,6.1
AUS,Australia,2004,4.4
AUS,Australia,2004,1.2
AUS,Australia,2004,2.6
AUS,Australia,2004,2.3
AUS,Australia,2004,4.4
AUS,Australia,2004,4.3
AUS,Australia,2004,5.1
AUS,Australia,2004,5.6
AUS,Australia,2004,3.4
AUS,Australia,2004,3.0
AUS,Australia,2004,10.0
AUS,Australia,2004,17.7
AUS,Australia,2004,2.6
AUS,Australia,2004,4.7
AUS,Australia,2004,3.6
AUS,Australia,2004,1.6
AUS,Australia,2004,4.0
AUS,Australia,2004,3.9
AUS,Australia,2004,3.4
AUS,Australia,2004,3.7
AUS,Australia,2004,1.7
AUS,Australia,2004,2.9
AUS,Australia,2004,3.0
AUS,Australia,2004,3.9
AUS,Australia,2004,2.5
AUS,Australia,2004,2.2
AUS,Australia,2004,9.2
AUS,Australia,2004,2.3
AUS,Australia,2004,3.2
AUS,Australia,2004,6.0
AUS,Australia,2004,3.0
AUS,Australia,2004,5.2
AUS,Australia,2004,3.9
AUS,Australia,2004,6.8
AUS,Australia,2004,1.7
AUS,Australia,2004,3.3
AUS,Australia,2004,7.3
AUS,Australia,2004,6.5
AUS,Australia,2004,3.6
AUS,Australia,2004,3.2
AUS,Australia,2004,1.9
AUS,Australia,2004,3.4
AUS,Australia,2004,3.9
AUS,Australia,2004,2.7
AUS,Australia,2004,8.6
AUS,Australia,2004,4.1
AUS,Australia,2004,1.1
AUS,Australia,2004,1.5
AUS,Australia,2004,7.7
AUS,Australia,2005,5.0
AUS,Australia,2005,7.8
AUS,Australia,2005,3.9
AUS,Australia,2005,4.2
AUS,Australia,2005,5.4
AUS,Australia,2005,4.9
AUS,Australia,2005,2.6
AUS,Australia,2005,4.0
AUS,Australia,2005,8.4
AUS,Australia,2005,8.2
AUS,Australia,2005,6.9
AUS,Australia,2005,1.5
AUS,Australia,2005,9.8
AUS,Australia,2005,5.2
AUS,Australia,2005,7.7
AUS,Australia,2005,6.2
AUS,Australia,2005,5.3
AUS,Australia,2005,5.5
AUS,Australia,2005,4.5
AUS,Australia,2005,6.4
AUS,Australia,2005,5.4
AUS,Australia,2005,9.5
AUS,Australia,2005,8.7
AUS,Australia,2005,6.8
AUS,Australia,2005,16.9
AUS,Australia,2005,16.4
AUS,Australia,2005,2.4
AUS,Australia,2005,1.2
AUS,Australia,2005,7.5
AUS,Australia,2005,7.3
AUS,Australia,2005,2.3
AUS,Australia,2005,7.7
AUS,Australia,2005,3.0
AUS,Australia,2005,12.2
AUS,Australia,2005,6.2
AUS,Australia,2005,4.9
AUS,Australia,2005,7.5
AUS,Australia,2005,3.0
AUS,Australia,2005,2.6
AUS,Australia,2005,2.8
AUS,Australia,2005,4.2
AUS,Australia,2005,5.6
AUS,Australia,2005,3.3
AUS,Australia,2005,2.0
AUS,Australia,2005,2.6
AUS,Australia,2005,2.0
AUS,Australia,2005,29.4
AUS,Australia,2005,12.3
AUS,Australia,2005,4.0
AUS,Australia,2005,15.2
AUS,Australia,2005,10.6
AUS,Australia,2005,5.1
AUS,Australia,2005,6.6
AUS,Australia,2005,7.3
AUS,Australia,2005,24.0
AUS,Australia,2005,14.9
AUS,Australia,2005,25.4
AUS,Australia,2005,6.8
AUS,Australia,2005,8.2
AUS,Australia,2005,5.3
AUS,Australia,2005,5.0
AUS,Australia,2005,4.4
AUS,Australia,2005,6.0
AUS,Australia,2005,4.5
AUS,Australia,2005,3.9
AUS,Australia,2005,4.3
AUS,Australia,2005,5.2
AUS,Australia,2005,9.2
AUS,Australia,2005,3.3
AUS,Australia,2005,6.8
AUS,Australia,2005,7.8
AUS,Australia,2005,6.2
AUS,Australia,2005,4.6
AUS,Australia,2005,4.3
AUS,Australia,2005,7.4
AUS,Australia,2005,10.7
AUS,Australia,2005,9.9
AUS,Australia,2005,10.7
AUS,Australia,2005,14.6
AUS,Australia,2005,4.5
AUS,Australia,2005,2.9
AUS,Australia,2005,2.2
AUS,Australia,2005,15.6
AUS,Australia,2005,5.0
AUS,Australia,2005,6.2
AUS,Australia,2005,6.8
AUS,Australia,2005,4.3
AUS,Australia,2005,6.6
AUS,Australia,2005,4.8
AUS,Australia,2005,2.3
AUS,Australia,2005,10.9
AUS,Australia,2005,8.0
AUS,Australia,2005,2.5
AUS,Australia,2005,7.9
AUS,Australia,2005,4.2
AUS,Australia,2005,8.3
AUS,Australia,2005,3.9
AUS,Australia,2005,6.2
AUS,Australia,2005,4.1
AUS,Australia,2005,2.3
AUS,Australia,2005,6.1
AUS,Australia,2005,4.5
AUS,Australia,2005,1.2
AUS,Australia,2005,2.6
AUS,Australia,2005,4.6
AUS,Australia,2005,4.2
AUS,Australia,2005,5.0
AUS,Australia,2005,5.9
AUS,Australia,2005,2.9
AUS,Australia,2005,10.0
AUS,Australia,2005,17.8
AUS,Australia,2005,2.5
AUS,Australia,2005,4.6
AUS,Australia,2005,3.6
AUS,Australia,2005,1.6
AUS,Australia,2005,4.0
AUS,Australia,2005,3.8
AUS,Australia,2005,3.3
AUS,Australia,2005,3.6
AUS,Australia,2005,1.6
AUS,Australia,2005,2.8
AUS,Australia,2005,2.9
AUS,Australia,2005,3.7
AUS,Australia,2005,2.6
AUS,Australia,2005,2.2
AUS,Australia,2005,9.3
AUS,Australia,2005,2.2
AUS,Australia,2005,3.1
AUS,Australia,2005,5.9
AUS,Australia,2005,3.0
AUS,Australia,2005,5.3
AUS,Australia,2005,3.7
AUS,Australia,2005,6.9
AUS,Australia,2005,1.7
AUS,Australia,2005,3.3
AUS,Australia,2005,7.1
AUS,Australia,2005,6.5
AUS,Australia,2005,3.7
AUS,Australia,2005,3.2
AUS,Australia,2005,1.9
AUS,Australia,2005,3.6
AUS,Australia,2005,3.8
AUS,Australia,2005,2.6
AUS,Australia,2005,8.5
AUS,Australia,2005,4.2
AUS,Australia,2005,1.1
AUS,Australia,2005,1.5
AUS,Australia,2005,7.6
AUS,Australia,2006,5.0
AUS,Australia,2006,7.5
AUS,Australia,2006,3.9
AUS,Australia,2006,4.0
AUS,Australia,2006,5.4
AUS,Australia,2006,4.8
AUS,Australia,2006,2.5
AUS,Australia,2006,3.9
AUS,Australia,2006,7.9
AUS,Australia,2006,8.1
AUS,Australia,2006,6.7
AUS,Australia,2006,1.4
AUS,Australia,2006,9.5
AUS,Australia,2006,5.1
AUS,Australia,2006,7.5
AUS,Australia,2006,6.1
AUS,Australia,2006,5.3
AUS,Australia,2006,5.4
AUS,Australia,2006,4.3
AUS,Australia,2006,6.2
AUS,Australia,2006,5.4
AUS,Australia,2006,9.3
AUS,Australia,2006,8.5
AUS,Australia,2006,8.4
AUS,Australia,2006,16.9
AUS,Australia,2006,16.4
AUS,Australia,2006,2.5
AUS,Australia,2006,1.3
AUS,Australia,2006,7.3
AUS,Australia,2006,4.0
AUS,Australia,2006,2.2
AUS,Australia,2006,7.2
AUS,Australia,2006,3.0
AUS,Australia,2006,11.9
AUS,Australia,2006,6.4
AUS,Australia,2006,4.8
AUS,Australia,2006,7.5
AUS,Australia,2006,3.0
AUS,Australia,2006,2.6
AUS,Australia,2006,8.3
AUS,Australia,2006,4.1
AUS,Australia,2006,5.5
AUS,Australia,2006,3.2
