country,code,year,gdp_in_usd
Denmark,DNK,2004,251373002954.382
Estonia,EST,2004,12145911801.2422
Finland,FIN,2004,197479443979.151
France,FRA,2004,2119633181634.37
Germany,DEU,2004,2814353869359.08
Hungary,HUN,2004,104120820258.669
Iceland,ISL,2004,13825302535.7699
Ireland,IRL,2004,194372115041.065
Israel,ISR,2004,139973148371.263
Italy,ITA,2004,1806542968545.56
"Korea, Rep.",KOR,2004,793175561887.027
Luxembourg,LUX,2004,35064843792.8993
Mexico,MEX,2004,819459227375.022
Netherlands,NLD,2004,658380081545.175
New Zealand,NZL,2004,103905210084.034
Poland,POL,2004,255107252158.631
Portugal,PRT,2004,189382122532.169
Slovak Republic,SVK,2004,57437444469.087
Slovenia,SVN,2004,34414784504.2352
Spain,ESP,2004,1069055675273.75
Switzerland,CHE,2004,403912891033.374
Turkiye,TUR,2004,408865430220.331
United Kingdom,GBR,2004,2421525082387.4
United States,USA,2004,12217196000000
Australia,AUS,2005,695692898676.56
Austria,AUT,2005,316092273276.015
Belgium,BEL,2005,385714762230.039
Canada,CAN,2005,1173108598778.68
Costa Rica,CRI,2005,20040642476.9817
Czechia,CZE,2005,137143471328.274
Denmark,DNK,2005,264467336457.17
Estonia,EST,2005,14106790200.2239
Finland,FIN,2005,204885494686.381
France,FRA,2005,2196945232435.8
Germany,DEU,2005,2846864211175.1
Hungary,HUN,2005,113211158292.936
Iceland,ISL,2005,16852963067.0496
Ireland,IRL,2005,211876989655.907
Israel,ISR,2005,147083996033.603
Italy,ITA,2005,1858217147203.73
"Korea, Rep.",KOR,2005,934901071332.984
Luxembourg,LUX,2005,37672280120.4794
Mexico,MEX,2005,917571853529.104
Netherlands,NLD,2005,685348181515.953
New Zealand,NZL,2005,114720129550.095
Poland,POL,2005,306145944824.93
Portugal,PRT,2005,197253876704.921
Slovak Republic,SVK,2005,62808723476.719
Slovenia,SVN,2005,36206395970.6504
Spain,ESP,2005,1153715822717.51
Switzerland,CHE,2005,418284865884.998
Turkiye,TUR,2005,506314717661.655
United Kingdom,GBR,2005,2543180000000
United States,USA,2005,13039197000000
Australia,AUS,2006,748417562769.636
Austria,AUT,2006,336280064332.411
Belgium,BEL,2006,408259840868.823
Canada,CAN,2006,1319264809590.97
Costa Rica,CRI,2006,22715540324.6944
Czechia,CZE,2006,156264095664.643
Denmark,DNK,2006,282884947702.966
Estonia,EST,2006,17022870405.2189
Finland,FIN,2006,217089269791.764
France,FRA,2006,2320536221304.7
Germany,DEU,2006,2994703642023.53
Hungary,HUN,2006,115715618613.052
Iceland,ISL,2006,17465318552.2941
Ireland,IRL,2006,232180617162.279
Israel,ISR,2006,158670456932.537
Italy,ITA,2006,1949551719389.64
"Korea, Rep.",KOR,2006,1053216909887.56
Luxembourg,LUX,2006,42910146296.0646
Mexico,MEX,2006,1020265057882.01
Netherlands,NLD,2006,733955269898.823
New Zealand,NZL,2006,111538810712.665
Poland,POL,2006,344626667414.292
Portugal,PRT,2006,208756449275.848
Slovak Republic,SVK,2006,70767338922.4411
Slovenia,SVN,2006,39481045038.2637
Spain,ESP,2006,1260398977831.76
Switzerland,CHE,2006,441634672196.523
Turkiye,TUR,2006,557076157773.479
United Kingdom,GBR,2006,2708441582336.71
United States,USA,2006,13815583000000
Australia,AUS,2007,855007458585.224
Austria,AUT,2007,389185571506.052
Belgium,BEL,2007,470922156309.453
Canada,CAN,2007,1468820407783.26
Costa Rica,CRI,2007,26884700344.8406
Czechia,CZE,2007,190183800884.018
Denmark,DNK,2007,319423424509.066
Estonia,EST,2007,22449129482.617
Finland,FIN,2007,256378067752.158
France,FRA,2007,2660591246211.77
Germany,DEU,2007,3425578382921.58
Hungary,HUN,2007,140186716681.425
Iceland,ISL,2007,21652505596.7528
Ireland,IRL,2007,270079279419.5
Israel,ISR,2007,184052121662.082
Italy,ITA,2007,2213102482751.46
"Korea, Rep.",KOR,2007,1172614086539.86
Luxembourg,LUX,2007,51587401415.7872
Mexico,MEX,2007,1102355554971.95
Netherlands,NLD,2007,848558887541.179
New Zealand,NZL,2007,137188946865.584
Poland,POL,2007,429020755432.721
Portugal,PRT,2007,240496147317.381
Slovak Republic,SVK,2007,86563986799.2505
Slovenia,SVN,2007,48067401207.3978
Spain,ESP,2007,1474002579820
Switzerland,CHE,2007,490740715594.802
Turkiye,TUR,2007,681321124295.914
United Kingdom,GBR,2007,3090510204081.63
United States,USA,2007,14474228000000
Australia,AUS,2008,1056112427190.38
Austria,AUT,2008,432051935642.945
Belgium,BEL,2008,517328087920.078
Canada,CAN,2008,1552989690721.65
Costa Rica,CRI,2008,30801744881.9502
Czechia,CZE,2008,236816485762.988
Denmark,DNK,2008,353361038818.383
Estonia,EST,2008,24341678628.9732
Finland,FIN,2008,285716311136.719
France,FRA,2008,2930303780828.12
Germany,DEU,2008,3745264093617.19
Hungary,HUN,2008,158325614580.628
Iceland,ISL,2008,18074622987.0185
Ireland,IRL,2008,275447471451.063
Israel,ISR,2008,220531065217.391
Italy,ITA,2008,2408655348718.59
"Korea, Rep.",KOR,2008,1047339010225.25
Luxembourg,LUX,2008,58844277701.5258
Mexico,MEX,2008,1161553459715.1
Netherlands,NLD,2008,951869997864.062
New Zealand,NZL,2008,133131369930.414
Poland,POL,2008,533599779515.715
Portugal,PRT,2008,263416394624.084
Slovak Republic,SVK,2008,100879902984.983
Slovenia,SVN,2008,55779427739.6609
Spain,ESP,2008,1631863493552.34
Switzerland,CHE,2008,567267767519.158
Turkiye,TUR,2008,770449132861.373
United Kingdom,GBR,2008,2929411764705.88
United States,USA,2008,14769862000000
Australia,AUS,2009,928762122698.05
Austria,AUT,2009,401758735822.211
Belgium,BEL,2009,483254171097.812
Canada,CAN,2009,1374625142157.29
Costa Rica,CRI,2009,30745714312.9905
Czechia,CZE,2009,207434296805.33
Denmark,DNK,2009,321241303699.006
Estonia,EST,2009,19633031397.6104
Finland,FIN,2009,253497520828.515
France,FRA,2009,2700887366932.03
Germany,DEU,2009,3411261212652.34
Hungary,HUN,2009,131069255620.567
Iceland,ISL,2009,13154414219.207
Ireland,IRL,2009,236443115853.695
Israel,ISR,2009,211970040942.96
Italy,ITA,2009,2199928804118.63
"Korea, Rep.",KOR,2009,943941876218.743
Luxembourg,LUX,2009,54467289897.5582
Mexico,MEX,2009,943437415024.633
Netherlands,NLD,2009,871518638049.218
New Zealand,NZL,2009,121373602348.679
Poland,POL,2009,439731589139.212
Portugal,PRT,2009,244667762835.543
Slovak Republic,SVK,2009,89399303222.155
Slovenia,SVN,2009,50567734885.9613
Spain,ESP,2009,1491472923706.64
Switzerland,CHE,2009,554212916092.271
Turkiye,TUR,2009,649289324627.732
United Kingdom,GBR,2009,2412840006231.5
United States,USA,2009,14478067000000
Australia,AUS,2010,1148890200292.42
Austria,AUT,2010,392275107258.667
Belgium,BEL,2010,481420882905.001
Canada,CAN,2010,1617343367486.26
Costa Rica,CRI,2010,37658614803.848
Czechia,CZE,2010,209069940963.177
Denmark,DNK,2010,321995279401.502
Estonia,EST,2010,19523477325.6235
Finland,FIN,2010,249424310816.667
France,FRA,2010,2645187882116.67
Germany,DEU,2010,3399667820000.01
Hungary,HUN,2010,132175349953.713
Iceland,ISL,2010,13751161917.7398
Ireland,IRL,2010,221913560882.367
Israel,ISR,2010,238364092298.023
Italy,ITA,2010,2136099955236.67
"Korea, Rep.",KOR,2010,1143672241149.72
Luxembourg,LUX,2010,56213985987.4168
Mexico,MEX,2010,1105424238731.09
Netherlands,NLD,2010,847380859016.668
New Zealand,NZL,2010,146517541181.254
Poland,POL,2010,475696613935.595
Portugal,PRT,2010,238113003233.284
Slovak Republic,SVK,2010,91162836320.3502
Slovenia,SVN,2010,48208240226.4501
Spain,ESP,2010,1422108199783.34
Switzerland,CHE,2010,598851028906.58
Turkiye,TUR,2010,776967266305.53
United Kingdom,GBR,2010,2485482596184.71
United States,USA,2010,15048971000000
Australia,AUS,2011,1398701323029.63
Austria,AUT,2011,431685217367.511
Belgium,BEL,2011,523330354138.133
Canada,CAN,2011,1793326630174.52
Costa Rica,CRI,2011,42762613699.9524
Czechia,CZE,2011,229562733398.948
Denmark,DNK,2011,344003137611.271
Estonia,EST,2011,23213994093.4631
Finland,FIN,2011,275604356167.316
France,FRA,2011,2865157541994.17
Germany,DEU,2011,3749314991050.59
Hungary,HUN,2011,141942264554.475
Iceland,ISL,2011,15221622925.9319
Ireland,IRL,2011,239170638711.314
Israel,ISR,2011,266791854430.897
Italy,ITA,2011,2294994296589.5
"Korea, Rep.",KOR,2011,1253289537500.81
Luxembourg,LUX,2011,61696281326.2453
Mexico,MEX,2011,1229013703416.76
Netherlands,NLD,2011,905270626332.687
New Zealand,NZL,2011,168295307149.46
Poland,POL,2011,524374183218.309
Portugal,PRT,2011,245117990242.248
Slovak Republic,SVK,2011,99922685424.8835
Slovenia,SVN,2011,51583869785.1849
Spain,ESP,2011,1480710495710.12
Switzerland,CHE,2011,715888126682.396
Turkiye,TUR,2011,838785289694.35
United Kingdom,GBR,2011,2663805834828.07
United States,USA,2011,15599732000000
Australia,AUS,2012,1547649835732.89
Austria,AUT,2012,409401816050.531
Belgium,BEL,2012,496152879924.727
Canada,CAN,2012,1828366481521.6
Costa Rica,CRI,2012,47231655431.1389
Czechia,CZE,2012,208857719320.649
Denmark,DNK,2012,327148943812.137
Estonia,EST,2012,23019150071.1867
Finland,FIN,2012,258290060227.734
France,FRA,2012,2683671716967.19
Germany,DEU,2012,3527143188785.16
Hungary,HUN,2012,128814279315.132
Iceland,ISL,2012,14751508133.5443
Ireland,IRL,2012,225118718207.156
Israel,ISR,2012,262282344091.849
Italy,ITA,2012,2086957656821.6
"Korea, Rep.",KOR,2012,1278046536287.01
Luxembourg,LUX,2012,59776383527.3602
Mexico,MEX,2012,1255110424817.79
Netherlands,NLD,2012,838923319919.531
New Zealand,NZL,2012,176210710655.208
Poland,POL,2012,495230523665.901
Portugal,PRT,2012,216224240577.957
Slovak Republic,SVK,2012,94623731085.6106
Slovenia,SVN,2012,46577793184.0031
Spain,ESP,2012,1324750738725
Switzerland,CHE,2012,686420221557.99
Turkiye,TUR,2012,880555885492.269
United Kingdom,GBR,2012,2707089726614.64
United States,USA,2012,16253970000000
Australia,AUS,2013,1577301840200.01
Austria,AUT,2013,430190979705.962
Belgium,BEL,2013,521791015247.06
Canada,CAN,2013,1846597421834.98
Costa Rica,CRI,2013,50949668840.8692
Czechia,CZE,2013,211685616592.931
Denmark,DNK,2013,343584391647.927
Estonia,EST,2013,25115753366.1114
Finland,FIN,2013,271362405890.589
France,FRA,2013,2811876903329.03
Germany,DEU,2013,3733804649549.03
Hungary,HUN,2013,135684315697.713
Iceland,ISL,2013,16125060515.3117
Ireland,IRL,2013,238112475390.796
Israel,ISR,2013,297732778479.129
Italy,ITA,2013,2141924094298.56
"Korea, Rep.",KOR,2013,1370632955321.2
Luxembourg,LUX,2013,65203276466.9763
Mexico,MEX,2013,1327436290282.67
Netherlands,NLD,2013,877172824534.512
New Zealand,NZL,2013,190909855416.34
Poland,POL,2013,515761954074.157
Portugal,PRT,2013,226433858005.714
Slovak Republic,SVK,2013,98935222174.8603
Slovenia,SVN,2013,48415657264.8758
Spain,ESP,2013,1355579535912.55
Switzerland,CHE,2013,706234937370.968
Turkiye,TUR,2013,957799120008.32
United Kingdom,GBR,2013,2784853502534.29
United States,USA,2013,16880683000000
Australia,AUS,2014,1468597690006.22
Austria,AUT,2014,442584815286.034
Belgium,BEL,2014,535390200131.018
Canada,CAN,2014,1805749878439.94
Costa Rica,CRI,2014,52016408951.8225
Czechia,CZE,2014,209358834156.329
Denmark,DNK,2014,352993631617.708
Estonia,EST,2014,26634083965.0987
Finland,FIN,2014,274862826772.156
France,FRA,2014,2855964488590.19
Germany,DEU,2014,3889093051023.52
Hungary,HUN,2014,141033843265.669
Iceland,ISL,2014,17867662177.8911
Ireland,IRL,2014,259681883575.706
Israel,ISR,2014,314330061977.263
Italy,ITA,2014,2162009615996.54
"Korea, Rep.",KOR,2014,1484488526271.8
Luxembourg,LUX,2014,68804811897.6445
Mexico,MEX,2014,1364507717614.13
Netherlands,NLD,2014,892167986713.722
New Zealand,NZL,2014,201337554959.49
Poland,POL,2014,539080475073.719
Portugal,PRT,2014,229901964221.884
Slovak Republic,SVK,2014,101437045019.901
Slovenia,SVN,2014,49997186439.0916
Spain,ESP,2014,1371820537888.62
Switzerland,CHE,2014,726537808338
Turkiye,TUR,2014,938934609296.966
United Kingdom,GBR,2014,3064708247921.43
United States,USA,2014,17608138000000
Australia,AUS,2015,1351768945139.11
Austria,AUT,2015,381971148530.543
Belgium,BEL,2015,462335574841.484
Canada,CAN,2015,1556508816217.14
Costa Rica,CRI,2015,56441920821.0806
Czechia,CZE,2015,188033050459.881
Denmark,DNK,2015,302673070846.857
Estonia,EST,2015,22890762090.1508
Finland,FIN,2015,234534382384.766
France,FRA,2015,2439188643162.5
Germany,DEU,2015,3357585719351.56
Hungary,HUN,2015,125174166987.372
Iceland,ISL,2015,17517210519.0912
Ireland,IRL,2015,292364226871.756
Israel,ISR,2015,303414276832.04
Italy,ITA,2015,1836637711060.55
"Korea, Rep.",KOR,2015,1466038936206.43
Luxembourg,LUX,2015,60071584216.1375
Mexico,MEX,2015,1213294467716.88
Netherlands,NLD,2015,765572770634.375
New Zealand,NZL,2015,178104220784.881
Poland,POL,2015,477111287969.227
Portugal,PRT,2015,199394066525.44
Slovak Republic,SVK,2015,88900883130.8374
Slovenia,SVN,2015,43107506024.3254
Spain,ESP,2015,1196156971279.69
Switzerland,CHE,2015,694118186379.628
Turkiye,TUR,2015,864313810469.009
United Kingdom,GBR,2015,2927911140916.73
United States,USA,2015,18295019000000
Australia,AUS,2016,1207580901578.72
Austria,AUT,2016,395837353031.499
Belgium,BEL,2016,476062757356.927
Canada,CAN,2016,1527994741907.43
Costa Rica,CRI,2016,58847019609.6549
Czechia,CZE,2016,196272068576.338
Denmark,DNK,2016,313115929314.339
Estonia,EST,2016,24072829276.7744
Finland,FIN,2016,240771351298.833
France,FRA,2016,2472964344587.17
Germany,DEU,2016,3469853463945.53
Hungary,HUN,2016,128609822750.039
Iceland,ISL,2016,20793168030.9524
Ireland,IRL,2016,298559265006.398
Israel,ISR,2016,322102790386.835
Italy,ITA,2016,1877071687633.78
"Korea, Rep.",KOR,2016,1499679823909.61
Luxembourg,LUX,2016,62216885435.9488
Mexico,MEX,2016,1112233497452.7
Netherlands,NLD,2016,784060430240.08
New Zealand,NZL,2016,188898209220.167
Poland,POL,2016,470024599375.619
Portugal,PRT,2016,206426152308.931
Slovak Republic,SVK,2016,89952699524.894
Slovenia,SVN,2016,44766722790.5826
Spain,ESP,2016,1233554967011.68
Switzerland,CHE,2016,687895460902.713
Turkiye,TUR,2016,869682881593.041
United Kingdom,GBR,2016,2689106566899.61
United States,USA,2016,18804913000000
Australia,AUS,2017,1326882104817
Austria,AUT,2017,417261151844.977
Belgium,BEL,2017,502764720556.354
Canada,CAN,2017,1649265644244.09
Costa Rica,CRI,2017,60516044657.2254
Czechia,CZE,2017,218628940951.675
Denmark,DNK,2017,332121063806.391
Estonia,EST,2017,26924385103.0659
Finland,FIN,2017,255647979916.471
France,FRA,2017,2595151045197.65
Germany,DEU,2017,3690849152517.65
Hungary,HUN,2017,143112196040.326
Iceland,ISL,2017,24728285177.4603
Ireland,IRL,2017,337241811320.896
Israel,ISR,2017,358245427458.541
Italy,ITA,2017,1961796197354.36
"Korea, Rep.",KOR,2017,1623074183501.9
Luxembourg,LUX,2017,65712180342.9836
Mexico,MEX,2017,1190721475906
Netherlands,NLD,2017,833869641687.06
New Zealand,NZL,2017,206566916732.292
Poland,POL,2017,524641252834.826
Portugal,PRT,2017,221357874718.93
Slovak Republic,SVK,2017,95649966260.9802
Slovenia,SVN,2017,48589100043.0954
Spain,ESP,2017,1313245330197.65
Switzerland,CHE,2017,695200833086.499
Turkiye,TUR,2017,858988492853.742
United Kingdom,GBR,2017,2680148052335.3
United States,USA,2017,19612102000000
Australia,AUS,2018,1429733668185.91
Austria,AUT,2018,454991174096.102
Belgium,BEL,2018,543299066998.902
Canada,CAN,2018,1725329192783.02
Costa Rica,CRI,2018,62420164991.5374
Czechia,CZE,2018,249000540729.179
Denmark,DNK,2018,356841216410.068
Estonia,EST,2018,30624720196.229
Finland,FIN,2018,275708001767.843
France,FRA,2018,2790956878746.66
Germany,DEU,2018,3974443355019.6
Hungary,HUN,2018,160565642983.587
Iceland,ISL,2018,26260850582.0687
Ireland,IRL,2018,386693357874.056
Israel,ISR,2018,376691526553.276
Italy,ITA,2018,2091932426266.98
"Korea, Rep.",KOR,2018,1725373496825.43
Luxembourg,LUX,2018,71000359760.4611
Mexico,MEX,2018,1256300182879.73
Netherlands,NLD,2018,914043438179.607
New Zealand,NZL,2018,211846555690.736
Poland,POL,2018,588779796423.695
Portugal,PRT,2018,242313116577.967
Slovak Republic,SVK,2018,106137924015.593
Slovenia,SVN,2018,54177882425.8431
Spain,ESP,2018,1421702715218.04
Switzerland,CHE,2018,725568717468.001
Turkiye,TUR,2018,778972199727.859
United Kingdom,GBR,2018,2871340347581.79
United States,USA,2018,20656516000000
Australia,AUS,2019,1394671325960.57
Austria,AUT,2019,444596155845.254
Belgium,BEL,2019,535865804349.803
Canada,CAN,2019,1743725183672.52
Costa Rica,CRI,2019,64417670521.1842
Czechia,CZE,2019,252548179964.897
Denmark,DNK,2019,346498737961.635
Estonia,EST,2019,31290453293.545
Finland,FIN,2019,268514916972.549
France,FRA,2019,2728870246705.88
Germany,DEU,2019,3889177589254.9
Hungary,HUN,2019,164020460331.659
Iceland,ISL,2019,24681343649.2952
Ireland,IRL,2019,398933010007.356
Israel,ISR,2019,402470513619.148
Italy,ITA,2019,2011302198827.45
"Korea, Rep.",KOR,2019,1651422932447.77
Luxembourg,LUX,2019,69890505323.5842
Mexico,MEX,2019,1305211135822.61
Netherlands,NLD,2019,910194347568.626
New Zealand,NZL,2019,212846907683.439
Poland,POL,2019,596058473058.766
Portugal,PRT,2019,239986922638.902
Slovak Republic,SVK,2019,105711680180.565
Slovenia,SVN,2019,54386654313.9685
Spain,ESP,2019,1394320055129.41
Switzerland,CHE,2019,721369112726.724
Turkiye,TUR,2019,761005946788.221
United Kingdom,GBR,2019,2851407164907.81
United States,USA,2019,21521395000000
